Dataset order,Sepal length,Sepal width,Petal length,Petal width,Species
1,5.1,3.5,1.4,0.2,I.Êsetosa
2,4.9,3,1.4,0.2,I.Êsetosa
3,4.7,3.2,1.3,0.2,I.Êsetosa
4,4.6,3.1,1.5,0.2,I.Êsetosa
5,5,3.6,1.4,0.3,I.Êsetosa
6,5.4,3.9,1.7,0.4,I.Êsetosa
7,4.6,3.4,1.4,0.3,I.Êsetosa
8,5,3.4,1.5,0.2,I.Êsetosa
9,4.4,2.9,1.4,0.2,I.Êsetosa
10,4.9,3.1,1.5,0.1,I.Êsetosa
11,5.4,3.7,1.5,0.2,I.Êsetosa
12,4.8,3.4,1.6,0.2,I.Êsetosa
13,4.8,3,1.4,0.1,I.Êsetosa
14,4.3,3,1.1,0.1,I.Êsetosa
15,5.8,4,1.2,0.2,I.Êsetosa
16,5.7,4.4,1.5,0.4,I.Êsetosa
17,5.4,3.9,1.3,0.4,I.Êsetosa
18,5.1,3.5,1.4,0.3,I.Êsetosa
19,5.7,3.8,1.7,0.3,I.Êsetosa
20,5.1,3.8,1.5,0.3,I.Êsetosa
21,5.4,3.4,1.7,0.2,I.Êsetosa
22,5.1,3.7,1.5,0.4,I.Êsetosa
23,4.6,3.6,1,0.2,I.Êsetosa
24,5.1,3.3,1.7,0.5,I.Êsetosa
25,4.8,3.4,1.9,0.2,I.Êsetosa
26,5,3,1.6,0.2,I.Êsetosa
27,5,3.4,1.6,0.4,I.Êsetosa
28,5.2,3.5,1.5,0.2,I.Êsetosa
29,5.2,3.4,1.4,0.2,I.Êsetosa
30,4.7,3.2,1.6,0.2,I.Êsetosa
31,4.8,3.1,1.6,0.2,I.Êsetosa
32,5.4,3.4,1.5,0.4,I.Êsetosa
33,5.2,4.1,1.5,0.1,I.Êsetosa
34,5.5,4.2,1.4,0.2,I.Êsetosa
35,4.9,3.1,1.5,0.2,I.Êsetosa
36,5,3.2,1.2,0.2,I.Êsetosa
37,5.5,3.5,1.3,0.2,I.Êsetosa
38,4.9,3.6,1.4,0.1,I.Êsetosa
39,4.4,3,1.3,0.2,I.Êsetosa
40,5.1,3.4,1.5,0.2,I.Êsetosa
41,5,3.5,1.3,0.3,I.Êsetosa
42,4.5,2.3,1.3,0.3,I.Êsetosa
43,4.4,3.2,1.3,0.2,I.Êsetosa
44,5,3.5,1.6,0.6,I.Êsetosa
45,5.1,3.8,1.9,0.4,I.Êsetosa
46,4.8,3,1.4,0.3,I.Êsetosa
47,5.1,3.8,1.6,0.2,I.Êsetosa
48,4.6,3.2,1.4,0.2,I.Êsetosa
49,5.3,3.7,1.5,0.2,I.Êsetosa
50,5,3.3,1.4,0.2,I.Êsetosa
51,7,3.2,4.7,1.4,I.Êversicolor
52,6.4,3.2,4.5,1.5,I.Êversicolor
53,6.9,3.1,4.9,1.5,I.Êversicolor
54,5.5,2.3,4,1.3,I.Êversicolor
55,6.5,2.8,4.6,1.5,I.Êversicolor
56,5.7,2.8,4.5,1.3,I.Êversicolor
57,6.3,3.3,4.7,1.6,I.Êversicolor
58,4.9,2.4,3.3,1,I.Êversicolor
59,6.6,2.9,4.6,1.3,I.Êversicolor
60,5.2,2.7,3.9,1.4,I.Êversicolor
61,5,2,3.5,1,I.Êversicolor
62,5.9,3,4.2,1.5,I.Êversicolor
63,6,2.2,4,1,I.Êversicolor
64,6.1,2.9,4.7,1.4,I.Êversicolor
65,5.6,2.9,3.6,1.3,I.Êversicolor
66,6.7,3.1,4.4,1.4,I.Êversicolor
67,5.6,3,4.5,1.5,I.Êversicolor
68,5.8,2.7,4.1,1,I.Êversicolor
69,6.2,2.2,4.5,1.5,I.Êversicolor
